Member No.;Location;Stress;Design;Loading;Forces [kN];;;Moments [kNm];;;Design Check;Design Check;
3;0.000;;DS1;CO17;-5.41;-2.49;5.50;0.05;-6.08;-2.87;0.166;SP6500.01;Section Proof | Biaxial bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
3;0.000;;DS1;CO4;-2.25;0.00;7.95;0.00;-9.13;0.00;0.224;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
3;0.000;;DS1;CO9;-0.54;-0.51;7.98;0.02;-9.25;-0.47;0.075;SP6500.04;Section Proof | Biaxial bending and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
3;0.000;;DS2;CO20;-1.86;0.00;2.43;0.00;-2.76;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
3;0.591;;DS2;CO25;0.41;0.73;5.45;-0.02;-3.30;0.35;0.066;SE1100.00;Serviceability | Deflections in z-direction
3;0.591;;DS2;CO36;-3.65;-1.55;3.77;0.04;-2.05;-0.94;0.052;SE1200.00;Serviceability | Deflections in y-direction
3;;;;;;;;;;;;;
4;Beam | 3 - HEA 140 | L : 0.150 m;;;;;;;;;;;;
4;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
4;0.000;;DS1;CO11;6.07;1.76;3.98;-0.07;-2.82;2.44;0.008;SP1100.00;Section Proof | Tension acc. to EN 1993-1-1, 6.2.3
4;0.150;;DS1;CO15;-4.02;-1.55;7.37;0.11;-4.49;-1.44;0.005;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
4;0.131;1;DS1;CO15;-4.02;-1.56;7.37;0.11;-4.63;-1.47;0.083;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
4;0.000;;DS1;CO7;0.79;-0.70;10.59;0.03;-7.74;-1.01;0.078;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
4;0.000;;DS1;CO4;-0.22;0.00;10.42;0.00;-7.95;-0.01;0.076;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
4;0.000;;DS1;CO16;6.05;1.78;7.12;-0.07;-5.25;2.45;0.006;SP3200.01;Section Proof | Shear in y-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
4;0.000;;DS1;CO9;1.48;-0.58;10.38;0.01;-7.89;-0.88;0.002;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
4;0.000;;DS1;CO1;-0.01;0.00;4.13;0.00;-3.06;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
4;0.000;;DS1;CO5;-2.44;-0.95;10.50;0.06;-8.00;-1.01;0.196;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
4;0.000;;DS1;CO16;6.05;1.78;7.12;-0.07;-5.25;2.45;0.123;SP5100.03;Section Proof | Bending about z-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
4;0.000;1;DS1;CO16;6.05;1.78;7.12;-0.07;-5.25;2.45;0.344;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
4;0.000;;DS1;CO16;6.05;1.78;7.12;-0.07;-5.25;2.45;0.140;SP6500.01;Section Proof | Biaxial bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
4;0.000;;DS2;CO20;-0.01;0.00;3.05;0.00;-2.22;-0.01;0.000;SE0100.00;Serviceability | Negligible deflections
4;0.075;;DS2;CO24;-1.63;-0.63;7.29;0.04;-5.02;-0.63;0.013;SE1100.00;Serviceability | Deflections in z-direction
4;0.075;;DS2;CO30;4.04;1.16;2.93;-0.05;-1.84;1.53;0.010;SE1200.00;Serviceability | Deflections in y-direction
4;;;;;;;;;;;;;
5;Beam | 3 - HEA 140 | L : 0.075 m;;;;;;;;;;;;
5;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
5;0.022;;DS1;CO16;6.28;0.67;10.18;-0.38;-6.74;2.09;0.009;SP1100.00;Section Proof | Tension acc. to EN 1993-1-1, 6.2.3
5;0.075;;DS1;CO10;-3.92;-0.56;5.26;0.49;-3.16;-2.89;0.005;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
5;0.075;1;DS1;CO15;-3.85;-0.54;9.61;0.49;-5.63;-2.88;0.381;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
5;0.000;;DS1;CO6;3.90;0.45;14.36;-0.23;-9.56;1.29;0.110;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
5;0.000;;DS1;CO3;0.22;0.00;14.10;0.00;-9.28;0.00;0.103;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
5;0.000;;DS1;CO16;6.28;0.68;10.19;-0.38;-6.96;2.11;0.002;SP3200.01;Section Proof | Shear in y-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
5;0.000;;DS1;CO1;0.07;0.00;5.43;0.00;-3.73;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
5;0.000;;DS1;CO6;3.90;0.45;14.36;-0.23;-9.56;1.29;0.235;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
5;0.000;;DS1;CO15;-3.85;-0.60;9.63;0.49;-6.34;-2.96;0.148;SP5100.03;Section Proof | Bending about z-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
5;0.000;14;DS1;CO15;-3.85;-0.60;9.63;0.49;-6.34;-2.96;0.556;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
5;0.000;;DS1;CO15;-3.85;-0.60;9.63;0.49;-6.34;-2.96;0.173;SP6500.01;Section Proof | Biaxial bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
5;0.000;;DS2;CO20;0.05;0.00;4.02;0.00;-2.78;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
5;0.037;;DS2;CO25;2.61;0.26;9.97;-0.15;-6.30;0.83;0.008;SE1100.00;Serviceability | Deflections in z-direction
5;0.037;;DS2;CO34;-2.56;-0.38;6.81;0.32;-4.24;-1.95;0.007;SE1200.00;Serviceability | Deflections in y-direction
5;;;;;;;;;;;;;
6;Beam | 2 - HEA 160 | L : 4.000 m;;;;;;;;;;;;
6;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
6;0.000;;DS1;CO5;-12.29;-2.96;-0.30;-0.01;0.00;0.00;0.013;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
6;0.000;;DS1;CO16;-7.79;3.03;5.67;0.01;0.00;0.00;0.032;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
6;0.000;;DS1;CO15;-9.56;-4.93;-1.88;-0.01;0.00;0.00;0.013;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
6;0.000;;DS1;CO1;-5.87;0.00;0.59;0.00;0.00;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
6;2.000;;DS1;CO16;-7.00;-0.39;0.16;0.01;5.74;-2.63;0.100;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
6;1.738;;DS1;CO15;-8.87;-0.14;0.94;-0.01;-0.82;4.41;0.159;SP5100.03;Section Proof | Bending about z-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
6;1.738;;DS1;CO15;-8.87;-0.14;0.94;-0.01;-0.82;4.41;0.160;SP6500.01;Section Proof | Biaxial bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
6;4.000;;DS1;CO4;-10.26;-0.17;1.24;0.00;5.04;0.00;0.087;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
6;0.667;;DS1;CO5;-12.02;-1.86;0.32;-0.01;0.01;1.61;0.058;SP6500.03;Section Proof | Bending about z-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
6;0.000;;DS1;CO1;-5.87;0.00;0.59;0.00;0.00;0.00;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
6;0.000;;DS1;CO5;-12.29;-2.96;-0.30;-0.01;0.00;0.00;0.064;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
6;0.000;;DS1;CO1;-5.87;0.00;0.59;0.00;0.00;0.00;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
6;0.000;;DS1;RC1;-12.29;-2.96;-0.30;-0.01;0.00;0.00;0.404;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
6;0.000;;DS2;CO20;-4.34;0.00;0.43;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
6;2.000;;DS2;CO35;-5.03;-0.26;0.14;0.01;3.90;-1.75;0.148;SE1100.00;Serviceability | Deflections in z-direction
6;2.000;;DS2;CO34;-6.22;0.37;0.91;-0.01;-0.26;2.89;0.275;SE1200.00;Serviceability | Deflections in y-direction
6;;;;;;;;;;;;;
7;Beam | 2 - HEA 160 | L : 4.500 m;;;;;;;;;;;;
7;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
7;0.000;;DS1;CO5;-27.26;0.45;2.99;0.00;0.00;0.00;0.030;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
7;0.000;;DS1;CO12;-10.72;0.00;7.73;0.00;0.00;0.00;0.043;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
7;0.000;;DS1;CO5;-27.26;0.45;2.99;0.00;0.00;0.00;0.001;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
7;0.000;;DS1;CO2;-12.03;0.00;-0.19;0.00;0.00;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
7;2.000;;DS1;CO12;-9.92;0.00;0.07;0.00;7.79;0.00;0.135;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
7;2.238;;DS1;CO5;-26.34;0.00;-0.30;0.00;2.99;-0.50;0.018;SP5100.03;Section Proof | Bending about z-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
7;2.000;;DS1;CO16;-17.77;0.03;-0.07;0.00;-7.01;-0.33;0.027;SP6500.01;Section Proof | Biaxial bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
7;2.000;;DS1;CO12;-9.92;0.00;0.07;0.00;7.79;0.00;0.135;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
7;2.250;;DS1;CO3;-23.34;-0.01;0.00;0.00;0.00;-0.44;0.016;SP6500.03;Section Proof | Bending about z-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
7;0.000;;DS1;CO5;-27.26;0.45;2.99;0.00;0.00;0.00;0.071;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
7;0.000;;DS1;CO5;-27.26;0.45;2.99;0.00;0.00;0.00;0.175;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
7;0.000;;DS1;CO1;-11.92;0.19;0.00;0.00;0.00;0.00;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
7;0.000;;DS1;RC1;-27.26;0.45;2.99;0.00;0.00;0.00;0.453;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
7;0.000;;DS2;CO20;-9.26;0.15;0.00;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
7;2.238;;DS2;CO31;-7.29;0.00;-0.52;0.00;5.11;0.00;0.207;SE1100.00;Serviceability | Deflections in z-direction
7;2.238;;DS2;CO24;-18.29;0.00;-0.20;0.00;1.98;-0.34;0.037;SE1200.00;Serviceability | Deflections in y-direction
7;;;;;;;;;;;;;
8;Beam | 2 - HEA 160 | L : 5.000 m;;;;;;;;;;;;
8;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
8;0.000;;DS1;CO7;-26.62;0.00;3.91;0.00;0.00;0.00;0.029;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
8;0.000;;DS1;CO16;-18.40;0.30;-7.75;0.00;0.00;0.00;0.043;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
8;0.000;;DS1;CO6;-23.91;0.39;-4.67;0.00;0.00;0.00;0.001;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
8;0.000;;DS1;CO2;-11.68;0.00;-0.18;0.00;0.00;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
8;2.238;;DS1;CO16;-17.52;0.03;-0.03;0.00;-8.73;-0.36;0.152;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
8;2.500;;DS1;CO6;-22.90;-0.01;0.50;0.00;-5.20;-0.49;0.018;SP5100.03;Section Proof | Bending about z-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
8;2.238;;DS1;CO16;-17.52;0.03;-0.03;0.00;-8.73;-0.36;0.036;SP6500.01;Section Proof | Biaxial bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
8;2.238;;DS1;CO12;-15.82;0.00;0.01;0.00;7.78;0.00;0.135;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
8;2.500;;DS1;CO3;-22.41;-0.01;0.00;0.00;0.00;-0.48;0.017;SP6500.03;Section Proof | Bending about z-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
8;0.000;;DS1;CO7;-26.62;0.00;3.91;0.00;0.00;0.00;0.082;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
8;0.000;;DS1;CO7;-26.62;0.00;3.91;0.00;0.00;0.00;0.206;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
8;0.000;;DS1;CO1;-11.80;0.19;0.00;0.00;0.00;0.00;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
8;0.000;;DS1;RC1;-26.62;0.00;3.91;0.00;0.00;0.00;0.528;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
8;0.000;;DS2;CO20;-9.13;0.15;0.00;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
8;2.500;;DS2;CO35;-12.81;0.00;0.55;0.00;-5.73;-0.27;0.257;SE1100.00;Serviceability | Deflections in z-direction
8;2.500;;DS2;CO25;-16.46;0.00;0.33;0.00;-3.45;-0.34;0.042;SE1200.00;Serviceability | Deflections in y-direction
8;;;;;;;;;;;;;
9;Beam | 2 - HEA 160 | L : 4.500 m;;;;;;;;;;;;
9;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
9;0.000;;DS1;CO6;-24.34;0.40;-4.17;0.00;0.00;0.00;0.027;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
9;0.000;;DS1;CO15;-17.31;0.28;7.93;0.00;0.00;0.00;0.044;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
9;0.000;;DS1;CO6;-24.34;0.40;-4.17;0.00;0.00;0.00;0.001;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
9;0.000;;DS1;CO4;-24.01;0.00;-0.39;0.00;0.00;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
9;2.000;;DS1;CO15;-16.52;0.03;0.08;0.00;8.00;-0.31;0.139;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
9;2.238;;DS1;CO6;-23.43;0.00;0.41;0.00;-4.18;-0.44;0.016;SP5100.03;Section Proof | Bending about z-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
9;2.000;;DS1;CO15;-16.52;0.03;0.08;0.00;8.00;-0.31;0.030;SP6500.01;Section Proof | Biaxial bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
9;2.000;;DS1;CO12;-10.19;0.00;0.04;0.00;4.80;0.00;0.083;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
9;2.250;;DS1;CO3;-23.10;-0.01;0.00;0.00;0.00;-0.44;0.016;SP6500.03;Section Proof | Bending about z-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
9;0.000;;DS1;CO6;-24.34;0.40;-4.17;0.00;0.00;0.00;0.063;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
9;0.000;;DS1;CO6;-24.34;0.40;-4.17;0.00;0.00;0.00;0.156;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
