Member No.;Location;Stress;Design;Loading;Design Check;Design Check;
2;0.495;;DS1;CO16;0.032;SP6500.03;Section Proof | Bending about z-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
2;1.650;;DS1;CO15;0.064;SP6500.04;Section Proof | Biaxial bending and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
2;0.000;;DS2;CO20;0.000;SE0100.00;Serviceability | Negligible deflections
2;1.031;;DS2;CO35;0.030;SE1100.00;Serviceability | Deflections in z-direction
2;0.990;;DS2;CO36;0.073;SE1200.00;Serviceability | Deflections in y-direction
2;;;;;;;
3;Beam | 3 - HEA 140 | L : 1.575 m;;;;;;
3;0.000;;DS1;RC1;0.000;SP0100.00;Section Proof | Negligible internal forces
3;1.575;;DS1;CO11;0.006;SP1100.00;Section Proof | Tension acc. to EN 1993-1-1, 6.2.3
3;0.000;;DS1;CO17;0.007;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
3;0.591;1;DS1;CO17;0.046;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
3;0.000;;DS1;CO6;0.059;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
3;0.000;;DS1;CO9;0.058;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
3;0.000;;DS1;CO17;0.008;SP3200.01;Section Proof | Shear in y-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
3;0.000;;DS1;CO9;0.002;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
3;0.000;;DS1;CO1;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
3;0.000;;DS1;CO5;0.231;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
3;0.000;;DS1;CO17;0.144;SP5100.03;Section Proof | Bending about z-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
3;0.000;14;DS1;CO17;0.396;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
3;0.000;;DS1;CO17;0.166;SP6500.01;Section Proof | Biaxial bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
3;0.000;;DS1;CO4;0.224;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
3;0.000;;DS1;CO9;0.075;SP6500.04;Section Proof | Biaxial bending and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
3;0.000;;DS2;CO20;0.000;SE0100.00;Serviceability | Negligible deflections
3;0.591;;DS2;CO25;0.066;SE1100.00;Serviceability | Deflections in z-direction
3;0.591;;DS2;CO36;0.052;SE1200.00;Serviceability | Deflections in y-direction
3;;;;;;;
4;Beam | 3 - HEA 140 | L : 0.150 m;;;;;;
4;0.000;;DS1;RC1;0.000;SP0100.00;Section Proof | Negligible internal forces
4;0.000;;DS1;CO11;0.008;SP1100.00;Section Proof | Tension acc. to EN 1993-1-1, 6.2.3
4;0.150;;DS1;CO15;0.005;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
4;0.131;1;DS1;CO15;0.083;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
4;0.000;;DS1;CO7;0.078;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
4;0.000;;DS1;CO4;0.076;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
4;0.000;;DS1;CO16;0.006;SP3200.01;Section Proof | Shear in y-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
4;0.000;;DS1;CO9;0.002;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
4;0.000;;DS1;CO1;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
4;0.000;;DS1;CO5;0.196;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
4;0.000;;DS1;CO16;0.123;SP5100.03;Section Proof | Bending about z-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
4;0.000;1;DS1;CO16;0.344;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
4;0.000;;DS1;CO16;0.140;SP6500.01;Section Proof | Biaxial bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
4;0.000;;DS2;CO20;0.000;SE0100.00;Serviceability | Negligible deflections
4;0.075;;DS2;CO24;0.013;SE1100.00;Serviceability | Deflections in z-direction
4;0.075;;DS2;CO30;0.010;SE1200.00;Serviceability | Deflections in y-direction
4;;;;;;;
5;Beam | 3 - HEA 140 | L : 0.075 m;;;;;;
5;0.000;;DS1;RC1;0.000;SP0100.00;Section Proof | Negligible internal forces
5;0.022;;DS1;CO16;0.009;SP1100.00;Section Proof | Tension acc. to EN 1993-1-1, 6.2.3
5;0.075;;DS1;CO10;0.005;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
5;0.075;1;DS1;CO15;0.381;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
5;0.000;;DS1;CO6;0.110;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
5;0.000;;DS1;CO3;0.103;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
5;0.000;;DS1;CO16;0.002;SP3200.01;Section Proof | Shear in y-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
5;0.000;;DS1;CO1;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
5;0.000;;DS1;CO6;0.235;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
5;0.000;;DS1;CO15;0.148;SP5100.03;Section Proof | Bending about z-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
5;0.000;14;DS1;CO15;0.556;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
5;0.000;;DS1;CO15;0.173;SP6500.01;Section Proof | Biaxial bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
5;0.000;;DS2;CO20;0.000;SE0100.00;Serviceability | Negligible deflections
5;0.037;;DS2;CO25;0.008;SE1100.00;Serviceability | Deflections in z-direction
5;0.037;;DS2;CO34;0.007;SE1200.00;Serviceability | Deflections in y-direction
5;;;;;;;
6;Beam | 2 - HEA 160 | L : 4.000 m;;;;;;
6;0.000;;DS1;RC1;0.000;SP0100.00;Section Proof | Negligible internal forces
6;0.000;;DS1;CO5;0.013;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
6;0.000;;DS1;CO16;0.032;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
6;0.000;;DS1;CO15;0.013;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
6;0.000;;DS1;CO1;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
6;2.000;;DS1;CO16;0.100;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
6;1.738;;DS1;CO15;0.159;SP5100.03;Section Proof | Bending about z-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
6;1.738;;DS1;CO15;0.160;SP6500.01;Section Proof | Biaxial bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
6;4.000;;DS1;CO4;0.087;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
6;0.667;;DS1;CO5;0.058;SP6500.03;Section Proof | Bending about z-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
6;0.000;;DS1;CO1;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
6;0.000;;DS1;CO5;0.064;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
6;0.000;;DS1;CO1;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
6;0.000;;DS1;RC1;0.404;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
6;0.000;;DS2;CO20;0.000;SE0100.00;Serviceability | Negligible deflections
6;2.000;;DS2;CO35;0.148;SE1100.00;Serviceability | Deflections in z-direction
6;2.000;;DS2;CO34;0.275;SE1200.00;Serviceability | Deflections in y-direction
6;;;;;;;
7;Beam | 2 - HEA 160 | L : 4.500 m;;;;;;
7;0.000;;DS1;RC1;0.000;SP0100.00;Section Proof | Negligible internal forces
7;0.000;;DS1;CO5;0.030;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
7;0.000;;DS1;CO12;0.043;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
7;0.000;;DS1;CO5;0.001;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
7;0.000;;DS1;CO2;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
7;2.000;;DS1;CO12;0.135;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
7;2.238;;DS1;CO5;0.018;SP5100.03;Section Proof | Bending about z-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
7;2.000;;DS1;CO16;0.027;SP6500.01;Section Proof | Biaxial bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
7;2.000;;DS1;CO12;0.135;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
7;2.250;;DS1;CO3;0.016;SP6500.03;Section Proof | Bending about z-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
7;0.000;;DS1;CO5;0.071;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
7;0.000;;DS1;CO5;0.175;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
7;0.000;;DS1;CO1;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
7;0.000;;DS1;RC1;0.453;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
7;0.000;;DS2;CO20;0.000;SE0100.00;Serviceability | Negligible deflections
7;2.238;;DS2;CO31;0.207;SE1100.00;Serviceability | Deflections in z-direction
7;2.238;;DS2;CO24;0.037;SE1200.00;Serviceability | Deflections in y-direction
7;;;;;;;
8;Beam | 2 - HEA 160 | L : 5.000 m;;;;;;
8;0.000;;DS1;RC1;0.000;SP0100.00;Section Proof | Negligible internal forces
8;0.000;;DS1;CO7;0.029;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
8;0.000;;DS1;CO16;0.043;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
8;0.000;;DS1;CO6;0.001;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
8;0.000;;DS1;CO2;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
8;2.238;;DS1;CO16;0.152;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
8;2.500;;DS1;CO6;0.018;SP5100.03;Section Proof | Bending about z-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
8;2.238;;DS1;CO16;0.036;SP6500.01;Section Proof | Biaxial bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
8;2.238;;DS1;CO12;0.135;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
8;2.500;;DS1;CO3;0.017;SP6500.03;Section Proof | Bending about z-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
8;0.000;;DS1;CO7;0.082;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
8;0.000;;DS1;CO7;0.206;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
8;0.000;;DS1;CO1;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
8;0.000;;DS1;RC1;0.528;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
8;0.000;;DS2;CO20;0.000;SE0100.00;Serviceability | Negligible deflections
8;2.500;;DS2;CO35;0.257;SE1100.00;Serviceability | Deflections in z-direction
8;2.500;;DS2;CO25;0.042;SE1200.00;Serviceability | Deflections in y-direction
8;;;;;;;
9;Beam | 2 - HEA 160 | L : 4.500 m;;;;;;
9;0.000;;DS1;RC1;0.000;SP0100.00;Section Proof | Negligible internal forces
9;0.000;;DS1;CO6;0.027;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
9;0.000;;DS1;CO15;0.044;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
9;0.000;;DS1;CO6;0.001;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
9;0.000;;DS1;CO4;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
9;2.000;;DS1;CO15;0.139;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
9;2.238;;DS1;CO6;0.016;SP5100.03;Section Proof | Bending about z-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
9;2.000;;DS1;CO15;0.030;SP6500.01;Section Proof | Biaxial bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
9;2.000;;DS1;CO12;0.083;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
9;2.250;;DS1;CO3;0.016;SP6500.03;Section Proof | Bending about z-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
9;0.000;;DS1;CO6;0.063;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
9;0.000;;DS1;CO6;0.156;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
9;0.000;;DS1;CO1;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
9;0.000;;DS1;RC1;0.440;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
9;0.000;;DS2;CO20;0.000;SE0100.00;Serviceability | Negligible deflections
9;2.238;;DS2;CO34;0.213;SE1100.00;Serviceability | Deflections in z-direction
9;2.238;;DS2;CO25;0.033;SE1200.00;Serviceability | Deflections in y-direction
9;;;;;;;
10;Beam | 1 - IPE 500 | L : 4.000 m;;;;;;
10;0.000;;DS1;RC1;0.000;SP0100.00;Section Proof | Negligible internal forces
10;0.000;;DS1;CO8;0.041;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
10;4.000;1;DS1;CO9;0.026;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
10;4.000;;DS1;CO9;0.078;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
10;1.000;;DS1;CO5;0.082;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
10;4.000;;DS1;CO9;0.002;SP3200.01;Section Proof | Shear in y-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
10;4.000;;DS1;CO4;0.001;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
10;3.500;11;DS1;CO9;0.117;SP3400.01;Section Proof | Shear and torsion acc. to EN 1993-1-1, 6.2.6(4) and 6.2.7(5) | Elastic design
10;0.000;11;DS1;CO9;0.111;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
10;0.000;;DS1;CO1;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
10;4.000;;DS1;CO5;0.513;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
10;4.000;18;DS1;CO9;0.613;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
10;3.500;14;DS1;CO9;0.555;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
10;4.000;;DS1;CO5;0.513;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
10;0.000;;DS1;CO1;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
10;0.000;;DS1;CO8;0.160;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
10;0.000;;DS1;CO1;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
10;0.000;;DS1;RC1;1.700;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
10;0.000;;DS2;CO20;0.000;SE0100.00;Serviceability | Negligible deflections
10;2.500;;DS2;CO24;0.139;SE1100.00;Serviceability | Deflections in z-direction
10;2.000;;DS2;CO28;0.031;SE1200.00;Serviceability | Deflections in y-direction
10;3.000;;DS1;CO9;Warning;WA5001.00;Warning | Torsion is neglected for stability design checks
10;;;;;;;
11;Beam | 1 - IPE 500 | L : 1.650 m;;;;;;
11;0.000;;DS1;RC1;0.000;SP0100.00;Section Proof | Negligible internal forces
11;0.000;;DS1;CO6;0.028;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
11;1.650;1;DS1;CO13;0.031;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
11;1.031;;DS1;CO13;0.046;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
11;0.000;;DS1;CO5;0.099;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
11;1.650;11;DS1;CO8;0.139;SP3400.01;Section Proof | Shear and torsion acc. to EN 1993-1-1, 6.2.6(4) and 6.2.7(5) | Elastic design
11;0.000;11;DS1;CO9;0.132;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
11;0.000;;DS1;CO1;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
11;0.000;;DS1;CO5;0.513;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
11;0.000;14;DS1;CO19;0.452;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
11;0.000;14;DS1;CO9;0.602;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
11;0.000;;DS1;CO5;0.513;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
11;0.000;;DS1;CO1;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
11;0.000;;DS1;CO1;0.000;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
11;0.000;;DS1;CO1;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
11;0.000;;DS1;RC1;0.621;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
11;0.000;;DS2;CO20;0.000;SE0100.00;Serviceability | Negligible deflections
11;0.660;;DS2;RC2;0.098;SE1100.00;Serviceability | Deflections in z-direction
11;0.990;;DS2;CO37;0.002;SE1200.00;Serviceability | Deflections in y-direction
11;0.000;;DS1;CO11;Warning;WA5001.00;Warning | Torsion is neglected for stability design checks
11;;;;;;;
12;Beam | 1 - IPE 500 | L : 1.575 m;;;;;;
12;0.000;;DS1;RC1;0.000;SP0100.00;Section Proof | Negligible internal forces
12;0.000;;DS1;CO6;0.028;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
12;0.000;;DS1;CO5;0.044;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
12;0.000;11;DS1;CO9;0.059;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
12;0.000;;DS1;CO1;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
12;1.575;;DS1;CO7;0.235;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
12;1.575;8;DS1;CO8;0.304;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
12;1.575;;DS1;CO7;0.235;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
12;0.000;;DS1;CO1;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
12;0.000;;DS1;CO1;0.000;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
12;0.000;;DS1;CO1;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
12;0.000;;DS1;RC1;0.322;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
12;0.000;;DS2;CO20;0.000;SE0100.00;Serviceability | Negligible deflections
12;0.787;;DS2;CO26;0.039;SE1100.00;Serviceability | Deflections in z-direction
12;0.630;;DS2;CO30;0.002;SE1200.00;Serviceability | Deflections in y-direction
12;;;;;;;
13;Beam | 1 - IPE 500 | L : 0.150 m;;;;;;
13;0.000;;DS1;RC1;0.000;SP0100.00;Section Proof | Negligible internal forces
13;0.150;;DS1;CO6;0.027;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
